============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
Row 366: Target column is empty
Row 367: Target column is empty
Row 368: Target column is empty
Row 369: Target column is empty
Row 370: Target column is empty
Row 371: Target column is empty
Row 372: Target column is empty
Row 373: Target column is empty
Row 374: Target column is empty
Row 375: Target column is empty
Row 376: Target column is empty
Row 377: Target column is empty
Row 378: Target column is empty
Row 379: Target column is empty
Row 380: Target column is empty
Row 381: Target column is empty
Row 382: Target column is empty
Row 383: Target column is empty
Row 384: Target column is empty
Row 385: Target column is empty
Row 386: Target column is empty
Row 387: Target column is empty
Row 388: Target column is empty
Row 389: Target column is empty
Row 390: Target column is empty
Row 391: Target column is empty
Row 392: Target column is empty
Row 393: Target column is empty
Row 394: Target column is empty
Row 395: Target column is empty
Row 396: Target column is empty
Row 397: Target column is empty
Row 398: Target column is empty
Row 399: Target column is empty
Row 400: Target column is empty
Row 401: Target column is empty
Row 402: Target column is empty
Row 403: Target column is empty
Row 404: Target column is empty
Row 405: Target column is empty
Row 406: Target column is empty
Row 407: Target column is empty
Row 408: Target column is empty
Row 409: Target column is empty
Row 410: Target column is empty
Row 411: Target column is empty
Row 412: Target column is empty
Row 413: Target column is empty
Row 414: Target column is empty
Row 415: Target column is empty
Row 416: Target column is empty
Row 417: Target column is empty
Row 418: Target column is empty
Row 419: Target column is empty
Row 420: Target column is empty
Row 421: Target column is empty
Row 422: Target column is empty
Row 423: Target column is empty
Row 424: Target column is empty
Row 425: Target column is empty
Row 426: Target column is empty
Row 427: Target column is empty
Row 428: Target column is empty
Row 429: Target column is empty
Row 430: Target column is empty
Row 431: Target column is empty
Row 432: Target column is empty
Row 434: Target column is empty
Row 435: Target column is empty
Row 436: Target column is empty
Row 437: Target column is empty
Row 438: Target column is empty
Row 439: Target column is empty
Row 440: Target column is empty
Row 441: Target column is empty
Row 442: Target column is empty
Row 443: Target column is empty
Row 444: Target column is empty
Row 445: Target column is empty
Row 446: Target column is empty
Row 447: Target column is empty
Row 448: Target column is empty
Row 449: Target column is empty
Row 450: Target column is empty
Row 451: Target column is empty
Row 452: Target column is empty
Row 453: Target column is empty
Row 454: Target column is empty
Row 455: Target column is empty
Row 456: Target column is empty
Row 457: Target column is empty
Row 458: Target column is empty
Row 459: Target column is empty
Row 460: Target column is empty
Row 461: Target column is empty
Row 462: Target column is empty
Row 463: Target column is empty
Row 464: Target column is empty
Row 465: Target column is empty
Row 466: Target column is empty
Row 467: Target column is empty
Row 468: Target column is empty
Row 469: Target column is empty
Row 470: Target column is empty
Row 471: Target column is empty
Row 472: Target column is empty
Row 473: Target column is empty
Row 474: Target column is empty
Row 475: Target column is empty
Row 476: Target column is empty
Row 477: Target column is empty
Row 478: Target column is empty
Row 479: Target column is empty
Row 480: Target column is empty
Row 481: Target column is empty
Row 482: Target column is empty
Row 483: Target column is empty
Row 484: Target column is empty
Row 485: Target column is empty
Row 486: Target column is empty
Row 487: Target column is empty
Row 488: Target column is empty
Row 489: Target column is empty
Row 490: Target column is empty
Row 491: Target column is empty
Row 492: Target column is empty
Row 493: Target column is empty
Row 494: Target column is empty
Row 495: Target column is empty
Row 496: Target column is empty
Row 497: Target column is empty
Row 498: Target column is empty
Row 499: Target column is empty
Row 500: Target column is empty
Row 501: Target column is empty
Row 502: Target column is empty
Row 503: Target column is empty
Row 504: Target column is empty
Row 505: Target column is empty
Row 506: Target column is empty
Row 507: Target column is empty
Row 508: Target column is empty
